,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily,license,dateupload,datetaken,datetakengranularity,datetakenunknown,views,tags,machine_tags,latitude,longitude,accuracy,context,place_id,woeid,geo_is_public,geo_is_contact,geo_is_friend,geo_is_family,url_m,height_m,width_m
52961999618,52961999618,32664945@N03,56f937b10a,65535,66,Vienna at evening,1,0,0,0,2023-06-09 08:53:02,2023-06-08 21:49:45,0,0,9,wien vienna austria europa europ reflection spiegelung donauturm donaucity hdr dctower buildings gebäude skyscraper hochhäuser neuedonau donauinsel trees bäume city cityscape stadt stadtlandschaft urban urbanelandschaft urbanlandscape blauestunde bluehour night nightshot nachbearbeitet nacht nachtaufnahme fotobearbeitung abart starburst911,,48.244775,16.392309,16,0,,2779467,1,0,0,0,https://live.staticflickr.com/65535/52961999618_56f937b10a.jpg,333,500
52961934323,52961934323,32664945@N03,ce752a51d1,65535,66,Blue (Hour) & Blue (Danube),1,0,0,0,2023-06-09 08:01:55,2023-06-08 21:34:25,0,0,17,wien vienna austria europa europ evening abend blauestunde bluehour donau danube river fluss milllenniumtower millenniumcity berthavonsuttner ship schiff schule school skyscraper hochhaus lights lichter reflection spiegelung water wasser hdr abart starburst911 urban urbanelandschaft urbanlandscape city cityscape stadt stadtlandschaft,,48.247404,16.386333,16,0,,2779467,1,0,0,0,https://live.staticflickr.com/65535/52961934323_ce752a51d1.jpg,334,500
52960592604,52960592604,184960040@N02,9bbc029390,65535,66,1014 011-9 und 1047 006-9 Wien,1,0,0,0,2023-06-08 19:53:15,2008-05-30 20:22:42,0,0,3,siemens es64u2 dispolok österreichischen bundesbahn oebb máv sgp graz elok rail train zug lok lokomotive eisenbahn trainspotter 1116 1216 182 baureihe br vienna,,48.196915,16.336510,15,0,,2779138,1,0,0,0,https://live.staticflickr.com/65535/52960592604_9bbc029390.jpg,335,500
52959711497,52959711497,158438800@N02,2b588ce45b,65535,66,"2016-12-16 AT Wien 05 Margareten & Wien 10 Favoriten, Hst. Matzleinsdorfer Platz S, WLB 119+4??",1,0,0,5,2023-06-08 18:36:48,2016-12-16 15:00:35,0,0,5,vienna underground tram station wlb,,48.180491,16.358688,16,0,,2771956,1,0,0,0,https://live.staticflickr.com/65535/52959711497_2b588ce45b.jpg,333,500
52960691670,52960691670,158438800@N02,67683336e3,65535,66,"2016-12-16 AT Wien 05 Margareten & Wien 10 Favoriten, Hst. Matzleinsdorfer Platz S, A1 97 Linie 62",1,0,0,5,2023-06-08 18:36:51,2016-12-16 15:08:40,0,0,4,vienna underground tram station,,48.180491,16.358688,16,0,,2771956,1,0,0,0,https://live.staticflickr.com/65535/52960691670_67683336e3.jpg,313,500
52960308441,52960308441,158438800@N02,981b9d2a6c,65535,66,"2016-12-16 AT Wien 05 Margareten & Wien 10 Favoriten, Hst. Matzleinsdorfer Platz S, E1 4510+c3 1234 Linie 6",1,0,0,5,2023-06-08 18:36:52,2016-12-16 15:15:07,0,0,5,vienna underground tram station,,48.180491,16.358688,16,0,,2771956,1,0,0,0,https://live.staticflickr.com/65535/52960308441_981b9d2a6c.jpg,375,500
52960454644,52960454644,158438800@N02,3927eae0e7,65535,66,"2016-12-16 AT Wien 05 Margareten & Wien 10 Favoriten, Hst. Matzleinsdorfer Platz S, B 622 Linie 6",1,0,0,5,2023-06-08 18:36:48,2016-12-16 15:02:40,0,0,3,vienna underground tram station,,48.180491,16.358688,16,0,,2771956,1,0,0,0,https://live.staticflickr.com/65535/52960454644_3927eae0e7.jpg,333,500
52959507291,52959507291,142402362@N06,a9111a8f5b,65535,66,Is it art?,1,0,0,0,2023-06-08 11:45:18,2023-05-30 12:10:25,0,0,211,wien art museum austria österreich ausstellung nikon,,48.203836,16.357786,16,0,,2770853,1,0,0,0,https://live.staticflickr.com/65535/52959507291_a9111a8f5b.jpg,281,500
52959489796,52959489796,145003604@N02,69c1c9da95,65535,66,Wildrose,1,0,0,0,2023-06-08 11:42:21,2023-06-03 16:07:24,0,0,687,wildrose rose blume blüte flower josefsdorf döbling 19bezirk 19thdistrict kahlenberg wien vienna österreich austria,,48.273050,16.347651,15,0,,2774982,1,0,0,0,https://live.staticflickr.com/65535/52959489796_69c1c9da95.jpg,362,500
52959506334,52959506334,80234356@N04,e05181945f,65535,66,Naolfi with Eve,1,0,0,0,2023-06-08 09:53:57,2023-05-21 10:29:29,0,0,541,wien tiere naolfi canoneosr3 rf2470mmf28lisusm cat animal trust vertrauen family familie iso3200,,48.150447,16.321392,15,0,,2782661,1,0,0,0,https://live.staticflickr.com/65535/52959506334_e05181945f.jpg,500,349
